epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.68697,1.46115,3.14582,1.45746,0.00333,1,0.58213,0.4317,0.90195,2.78528,1.24166,0.00014,0.00014,0.00014
2,10.593,1.25268,2.27912,1.4,0.00333,1,0.76047,0.58352,0.81215,2.61108,1.1651,0.000296288,0.000296288,0.000296288
3,11.792,1.22534,2.02534,1.4463,0.13022,1,0.70569,0.49181,0.97159,2.52523,1.31074,0.000448615,0.000448615,0.000448615
4,12.8108,1.01066,1.72239,1.2129,1,0.13023,0.83051,0.57733,0.92822,2.48854,1.33554,0.000596983,0.000596983,0.000596983
5,13.8443,1.06274,1.78694,1.33116,0.78187,0.24249,0.70386,0.41985,1.24683,2.60053,1.68676,0.00074139,0.00074139,0.00074139
6,14.941,1.06366,1.76834,1.24326,0.70792,0.16634,0.70619,0.46972,1.083,2.66234,1.41416,0.000881838,0.000881838,0.000881838
7,16.065,1.05798,1.79988,1.30845,0.72096,0.17677,0.5752,0.36575,1.15893,2.79831,1.62837,0.00101833,0.00101833,0.00101833
8,17.1193,1.10158,1.59587,1.37158,0.77388,0.23184,0.58964,0.35548,1.38584,2.9728,1.91408,0.00115085,0.00115085,0.00115085
9,18.247,1.12572,1.65413,1.33055,0.65375,0.4,0.53385,0.31729,1.48733,2.56527,1.6449,0.00127942,0.00127942,0.00127942
10,19.2316,1.1467,1.76918,1.33067,0.49184,0.53333,0.50519,0.32687,1.39008,2.27916,1.64447,0.00140403,0.00140403,0.00140403
11,20.2558,1.14322,1.68578,1.31507,0.42911,0.53333,0.42333,0.25086,1.46713,2.41156,1.7344,0.00152467,0.00152467,0.00152467
12,21.3925,1.0407,1.47914,1.19127,0.58725,0.57025,0.54398,0.39197,1.27154,2.1956,1.58543,0.00164136,0.00164136,0.00164136
13,23.0539,1.03911,1.48235,1.24661,0.866,0.66667,0.7594,0.48217,1.43184,1.75176,1.89144,0.001703,0.001703,0.001703
14,24.3782,1.02069,1.53911,1.28454,1,0.65028,0.83516,0.55316,1.21547,1.69588,1.81204,0.00167825,0.00167825,0.00167825
15,25.4875,1.10308,1.5113,1.25269,0.82073,0.66667,0.75216,0.34333,1.39623,1.8691,1.75317,0.0016535,0.0016535,0.0016535
16,27.1602,0.98437,1.46414,1.24621,0.97415,0.6,0.75888,0.4704,1.35097,1.63053,1.65693,0.00162875,0.00162875,0.00162875
17,28.2598,0.95846,1.36401,1.20554,0.86597,0.6,0.75603,0.54127,1.20637,1.69225,1.60224,0.001604,0.001604,0.001604
18,29.361,1.06765,1.38805,1.29307,0.61716,0.75304,0.72605,0.49491,1.33993,1.89666,1.70713,0.00157925,0.00157925,0.00157925
19,30.422,0.94475,1.26478,1.17355,0.85481,0.6,0.7256,0.44361,1.56403,1.91876,1.85101,0.0015545,0.0015545,0.0015545
20,31.3405,1.01077,1.32306,1.23811,0.68298,0.73333,0.76552,0.42943,1.50918,1.81539,1.65443,0.00152975,0.00152975,0.00152975
21,32.2437,0.99627,1.29333,1.24636,0.66211,0.65391,0.65268,0.35161,1.38737,2.04066,1.55936,0.001505,0.001505,0.001505
22,33.1927,1.00203,1.17147,1.21036,0.59019,0.4,0.49991,0.26506,1.60881,2.4138,1.783,0.00148025,0.00148025,0.00148025
23,34.2449,0.96652,1.28487,1.26163,0.54269,0.33333,0.3649,0.18939,1.75462,2.60869,1.94742,0.0014555,0.0014555,0.0014555
24,35.3125,0.96226,1.28746,1.20755,0.80609,0.55566,0.70049,0.28083,1.72148,2.05746,1.92558,0.00143075,0.00143075,0.00143075
25,36.3247,0.92403,1.20128,1.16807,0.76046,0.84744,0.88079,0.48614,1.37763,1.57771,1.70348,0.001406,0.001406,0.001406
26,37.2584,0.96161,1.32269,1.22969,1,0.6653,0.85737,0.54391,1.29049,1.53457,1.60501,0.00138125,0.00138125,0.00138125
27,38.1622,0.98912,1.29804,1.29663,0.83518,0.8,0.84659,0.5388,1.25373,1.40202,1.5164,0.0013565,0.0013565,0.0013565
28,39.0763,0.9775,1.11425,1.20649,0.9893,0.8,0.90352,0.58318,1.22356,1.27189,1.44804,0.00133175,0.00133175,0.00133175
29,40.1747,0.92815,1.10382,1.17985,0.90922,0.8,0.89969,0.54938,1.35027,1.37649,1.61388,0.001307,0.001307,0.001307
30,41.5789,0.9277,1.14269,1.20958,0.8615,0.93333,0.96025,0.63561,1.25102,1.16188,1.50518,0.00128225,0.00128225,0.00128225
31,42.64,0.96336,1.14165,1.21792,0.8176,0.93333,0.93993,0.6445,1.1753,1.19561,1.43696,0.0012575,0.0012575,0.0012575
32,43.6219,0.92202,1.03515,1.21289,0.97442,0.93333,0.95415,0.69986,1.09358,1.17571,1.39032,0.00123275,0.00123275,0.00123275
33,44.5773,0.8518,0.9722,1.13936,1,0.8604,0.97533,0.72083,1.03209,1.13116,1.34995,0.001208,0.001208,0.001208
34,45.5335,0.91489,1.00623,1.13565,0.92212,0.93333,0.95808,0.73545,0.96595,1.05518,1.32755,0.00118325,0.00118325,0.00118325
35,46.4953,0.88818,0.9873,1.11963,0.94359,0.8,0.92374,0.67719,1.02724,1.03677,1.32824,0.0011585,0.0011585,0.0011585
